Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
90,0.5123,0.0170,0.0189,0.0724,0.0794,0.1540,0.0357,0.0491,0.0146,0.0466
91,0.1051,0.4222,0.2390,0.0494,0.0390,0.0198,0.0565,0.0365,0.0043,0.0282
92,0.5703,0.1475,0.0101,0.0008,0.0575,0.0696,0.0400,0.0414,0.0462,0.0166
93,0.8470,0.0318,0.0097,0.0008,0.0212,0.0226,0.0196,0.0193,0.0098,0.0182
94,0.5919,0.0645,0.0162,0.0799,0.1188,0.0193,0.0456,0.0063,0.0376,0.0198
95,0.7282,0.0346,0.0108,0.0360,0.0246,0.0741,0.0417,0.0271,0.0023,0.0207
96,0.0249,0.1328,0.0395,0.0132,0.4031,0.2288,0.0651,0.0336,0.0449,0.0141
97,0.2450,0.3303,0.0311,0.1333,0.0288,0.0447,0.1003,0.0452,0.0001,0.0411
98,0.2413,0.5387,0.0194,0.0189,0.0821,0.0293,0.0435,0.0095,0.0095,0.0077
99,0.1146,0.0068,0.3503,0.1208,0.0790,0.0421,0.0398,0.1810,0.0413,0.0243
100,0.7552,0.0218,0.0095,0.0068,0.0972,0.0239,0.0294,0.0235,0.0076,0.0252
101,0.2478,0.0245,0.0026,0.4974,0.0670,0.0199,0.0621,0.0229,0.0149,0.0410
102,0.1428,0.0376,0.0417,0.1181,0.2793,0.1100,0.0469,0.0624,0.0825,0.0787
103,0.7101,0.0232,0.0062,0.0540,0.0436,0.0487,0.0587,0.0264,0.0059,0.0232
104,0.0452,0.3519,0.0001,0.3685,0.0109,0.0014,0.0813,0.0087,0.1148,0.0171
105,0.5393,0.2963,0.0088,0.0090,0.0472,0.0149,0.0173,0.0358,0.0136,0.0178
106,0.7427,0.0029,0.0029,0.0054,0.0418,0.0156,0.0238,0.1365,0.0146,0.0139
107,0.8326,0.0375,0.0126,0.0011,0.0112,0.0407,0.0395,0.0037,0.0081,0.0130
108,0.1047,0.4785,0.0077,0.2582,0.0833,0.0155,0.0305,0.0029,0.0007,0.0180
109,0.6045,0.0481,0.0394,0.0138,0.0164,0.0108,0.0229,0.2095,0.0006,0.0340
110,0.1672,0.0531,0.6641,0.0095,0.0161,0.0236,0.0186,0.0336,0.0039,0.0101
111,0.0213,0.7132,0.1830,0.0211,0.0024,0.0205,0.0101,0.0001,0.0270,0.0012
112,0.7233,0.0634,0.0547,0.0083,0.0426,0.0232,0.0280,0.0342,0.0097,0.0126
113,0.5386,0.0392,0.0216,0.0360,0.0259,0.0223,0.0434,0.2153,0.0092,0.0484
114,0.6685,0.0289,0.1610,0.0025,0.0453,0.0151,0.0212,0.0433,0.0061,0.0081
115,0.3250,0.0202,0.0047,0.3930,0.0626,0.0553,0.0479,0.0696,0.0056,0.0161
116,0.7052,0.0497,0.1284,0.0002,0.0552,0.0116,0.0244,0.0045,0.0120,0.0089
117,0.7750,0.0504,0.0056,0.0024,0.0409,0.0571,0.0271,0.0208,0.0065,0.0142
118,0.7863,0.0105,0.0071,0.0072,0.0976,0.0126,0.0469,0.0076,0.0108,0.0134
119,0.6366,0.0216,0.1593,0.0054,0.0558,0.0169,0.0194,0.0342,0.0264,0.0244
120,0.7331,0.0721,0.0339,0.0196,0.0267,0.0130,0.0316,0.0655,0.0006,0.0040
121,0.7301,0.1553,0.0014,0.0035,0.0253,0.0140,0.0410,0.0112,0.0039,0.0143
122,0.2176,0.2456,0.0053,0.3251,0.0936,0.0169,0.0454,0.0105,0.0218,0.0182
123,0.7768,0.0234,0.0070,0.0042,0.0457,0.0460,0.0477,0.0218,0.0108,0.0165
124,0.1129,0.0409,0.6449,0.0067,0.0951,0.0314,0.0416,0.0081,0.0037,0.0148
125,0.2160,0.4200,0.0123,0.0089,0.0621,0.0154,0.0624,0.0042,0.1424,0.0563
126,0.7155,0.0555,0.0449,0.0040,0.0444,0.0386,0.0414,0.0247,0.0044,0.0266
127,0.8299,0.0531,0.0078,0.0091,0.0276,0.0220,0.0178,0.0184,0.0016,0.0127
128,0.0210,0.5420,0.2147,0.0399,0.0032,0.0778,0.0061,0.0008,0.0761,0.0184
129,0.0599,0.9197,0.0001,0.0063,0.0003,0.0035,0.0056,0.0000,0.0000,0.0045
130,0.0807,0.0098,0.0074,0.0382,0.6132,0.1959,0.0347,0.0039,0.0107,0.0054
131,0.6790,0.0061,0.0194,0.0026,0.1290,0.0304,0.0332,0.0748,0.0088,0.0166
132,0.7026,0.0218,0.0428,0.0315,0.0421,0.0637,0.0382,0.0328,0.0030,0.0217
133,0.2676,0.0425,0.0011,0.1943,0.1266,0.0672,0.0716,0.0919,0.0705,0.0667
134,0.8570,0.0028,0.0892,0.0056,0.0061,0.0076,0.0149,0.0008,0.0118,0.0044
135,0.1633,0.0439,0.0002,0.5779,0.0333,0.0776,0.0184,0.0696,0.0020,0.0139
136,0.1462,0.0629,0.2326,0.0231,0.0114,0.3765,0.0339,0.0022,0.1064,0.0047
137,0.1755,0.0115,0.7324,0.0050,0.0270,0.0310,0.0091,0.0002,0.0045,0.0037
138,0.5639,0.0326,0.1123,0.0289,0.0888,0.0570,0.0447,0.0119,0.0354,0.0245
139,0.7594,0.0305,0.0100,0.0103,0.0298,0.0103,0.0575,0.0480,0.0062,0.0379
140,0.6103,0.0965,0.0170,0.0599,0.0477,0.0510,0.0286,0.0644,0.0092,0.0154
141,0.6618,0.0754,0.0017,0.0150,0.0252,0.0042,0.0385,0.1479,0.0002,0.0301
142,0.6456,0.1206,0.0048,0.0071,0.0898,0.0228,0.0483,0.0380,0.0062,0.0169
143,0.7776,0.0518,0.0112,0.0050,0.0425,0.0089,0.0461,0.0475,0.0047,0.0048
144,0.5224,0.0097,0.0539,0.0239,0.0612,0.1278,0.0679,0.0092,0.0209,0.1032
145,0.4341,0.0040,0.0455,0.0072,0.0161,0.0151,0.0187,0.2793,0.1722,0.0079
146,0.5393,0.0233,0.0011,0.1474,0.0418,0.0331,0.0422,0.1550,0.0077,0.0091
147,0.7270,0.0425,0.0052,0.0385,0.0653,0.0562,0.0289,0.0061,0.0149,0.0154
148,0.0709,0.3143,0.3052,0.0007,0.1735,0.0124,0.0389,0.0002,0.0681,0.0158
149,0.4759,0.3726,0.0108,0.0037,0.0550,0.0050,0.0212,0.0103,0.0135,0.0320
150,0.2671,0.6087,0.0032,0.0243,0.0299,0.0130,0.0233,0.0021,0.0140,0.0145
151,0.5151,0.0072,0.0078,0.1894,0.0617,0.0368,0.0462,0.0838,0.0243,0.0278
152,0.1920,0.7482,0.0026,0.0278,0.0147,0.0034,0.0061,0.0000,0.0015,0.0037
153,0.2474,0.2078,0.0046,0.2634,0.1136,0.0147,0.0425,0.0520,0.0140,0.0401
154,0.1331,0.3234,0.0324,0.0504,0.0061,0.4057,0.0392,0.0020,0.0006,0.0070
155,0.6440,0.0875,0.0008,0.1666,0.0113,0.0371,0.0249,0.0097,0.0036,0.0145
156,0.3299,0.0086,0.0304,0.0119,0.0938,0.1091,0.0929,0.2640,0.0187,0.0406
157,0.7051,0.0189,0.0140,0.0184,0.0716,0.0628,0.0450,0.0404,0.0042,0.0198
158,0.6878,0.0265,0.0045,0.0508,0.0470,0.0545,0.0392,0.0689,0.0036,0.0173
159,0.7587,0.0350,0.0182,0.0698,0.0463,0.0177,0.0185,0.0006,0.0196,0.0156
160,0.7270,0.0401,0.0064,0.0091,0.0244,0.0319,0.0574,0.0675,0.0087,0.0276
161,0.3521,0.0801,0.0201,0.0931,0.0973,0.1010,0.0804,0.0632,0.0888,0.0239
162,0.5007,0.0204,0.0616,0.0284,0.1396,0.0679,0.0654,0.0709,0.0256,0.0193
163,0.0177,0.9521,0.0004,0.0046,0.0002,0.0089,0.0132,0.0000,0.0013,0.0016
164,0.3374,0.0305,0.0111,0.1173,0.1329,0.0850,0.0652,0.1092,0.0306,0.0809
165,0.4633,0.1250,0.0292,0.1528,0.0366,0.0803,0.0415,0.0240,0.0317,0.0155
166,0.3915,0.0286,0.0053,0.0919,0.0954,0.0961,0.0571,0.1351,0.0174,0.0816
167,0.7451,0.0364,0.0474,0.0055,0.0457,0.0623,0.0301,0.0046,0.0037,0.0192
168,0.3911,0.0376,0.1690,0.0877,0.0200,0.1966,0.0305,0.0561,0.0016,0.0100
169,0.2547,0.0657,0.0431,0.2683,0.1433,0.0744,0.0363,0.0297,0.0344,0.0502
170,0.1372,0.7193,0.0208,0.0231,0.0113,0.0470,0.0249,0.0014,0.0002,0.0150
171,0.6493,0.0098,0.0027,0.0376,0.1017,0.0673,0.0392,0.0525,0.0125,0.0275
172,0.5538,0.0051,0.0224,0.0086,0.0921,0.0206,0.0457,0.2158,0.0200,0.0160
173,0.6152,0.0136,0.0091,0.0916,0.0661,0.0863,0.0239,0.0529,0.0275,0.0137
174,0.7447,0.0060,0.0232,0.0743,0.0315,0.0443,0.0315,0.0126,0.0134,0.0186
175,0.2458,0.7319,0.0000,0.0009,0.0086,0.0017,0.0078,0.0003,0.0000,0.0029
176,0.3673,0.3676,0.1127,0.0118,0.0265,0.0437,0.0181,0.0335,0.0018,0.0170
177,0.6478,0.1694,0.0049,0.0093,0.0555,0.0394,0.0286,0.0142,0.0035,0.0275
178,0.5385,0.0217,0.0126,0.0592,0.0462,0.1869,0.0307,0.0470,0.0019,0.0553
179,0.7208,0.1567,0.0106,0.0044,0.0169,0.0176,0.0303,0.0088,0.0005,0.0336
180,0.7491,0.0111,0.0057,0.0185,0.0284,0.0438,0.0324,0.0939,0.0013,0.0157
181,0.7903,0.1068,0.0012,0.0068,0.0181,0.0215,0.0160,0.0192,0.0003,0.0199
182,0.0188,0.9410,0.0102,0.0052,0.0126,0.0023,0.0074,0.0000,0.0013,0.0013
183,0.0393,0.0602,0.0428,0.1446,0.0042,0.5751,0.1263,0.0003,0.0018,0.0054
184,0.4101,0.1329,0.0116,0.1710,0.1288,0.0545,0.0470,0.0116,0.0228,0.0097
185,0.7024,0.0810,0.0260,0.0009,0.0454,0.0520,0.0279,0.0192,0.0017,0.0435
186,0.0801,0.0401,0.6179,0.0749,0.0485,0.0366,0.0342,0.0417,0.0144,0.0115
187,0.4226,0.0018,0.1031,0.0952,0.0513,0.1724,0.0336,0.0882,0.0016,0.0302
188,0.6662,0.0648,0.0198,0.0705,0.0690,0.0181,0.0361,0.0233,0.0065,0.0257
189,0.2791,0.2276,0.0016,0.1144,0.1522,0.0560,0.0498,0.0152,0.0038,0.1002
190,0.1024,0.3398,0.1009,0.1070,0.1626,0.0296,0.0514,0.0142,0.0339,0.0583
191,0.1734,0.8078,0.0003,0.0011,0.0023,0.0013,0.0049,0.0000,0.0003,0.0086
192,0.6232,0.1616,0.0090,0.0076,0.0463,0.0364,0.0589,0.0082,0.0257,0.0232
193,0.4362,0.0010,0.3203,0.0271,0.0706,0.0440,0.0234,0.0039,0.0378,0.0356
194,0.7619,0.0070,0.0023,0.0208,0.0642,0.0839,0.0217,0.0187,0.0098,0.0098
195,0.1354,0.0217,0.7455,0.0029,0.0447,0.0212,0.0134,0.0026,0.0006,0.0120
196,0.0091,0.5142,0.4246,0.0047,0.0039,0.0039,0.0081,0.0005,0.0256,0.0052
197,0.7297,0.1412,0.0004,0.0011,0.0665,0.0045,0.0343,0.0072,0.0006,0.0145
198,0.3108,0.5981,0.0297,0.0026,0.0102,0.0023,0.0260,0.0023,0.0001,0.0178
199,0.7366,0.0339,0.0029,0.0503,0.0232,0.0204,0.0183,0.0715,0.0104,0.0324
200,0.1347,0.8036,0.0001,0.0142,0.0185,0.0033,0.0172,0.0017,0.0007,0.0060
201,0.6944,0.0401,0.0860,0.0582,0.0366,0.0321,0.0215,0.0067,0.0146,0.0099
202,0.1388,0.0003,0.0004,0.6484,0.0172,0.0712,0.0669,0.0270,0.0033,0.0264
203,0.7097,0.1080,0.0380,0.0100,0.0194,0.0248,0.0405,0.0079,0.0156,0.0260
204,0.4828,0.1577,0.0838,0.0184,0.0188,0.1433,0.0362,0.0144,0.0022,0.0424
205,0.7696,0.1095,0.0053,0.0167,0.0247,0.0339,0.0219,0.0045,0.0089,0.0051
206,0.1021,0.5907,0.1540,0.0042,0.0062,0.0723,0.0184,0.0001,0.0480,0.0040
207,0.3518,0.5093,0.0051,0.0116,0.0149,0.0217,0.0344,0.0310,0.0040,0.0162
208,0.5032,0.0457,0.2087,0.0359,0.0873,0.0123,0.0276,0.0009,0.0565,0.0219
209,0.0777,0.0111,0.7065,0.0211,0.0327,0.0783,0.0342,0.0169,0.0141,0.0073
210,0.6486,0.0546,0.0079,0.0469,0.0470,0.0863,0.0397,0.0493,0.0014,0.0184
211,0.0330,0.2019,0.0117,0.5003,0.0717,0.0689,0.0241,0.0126,0.0300,0.0458
212,0.1988,0.1024,0.0396,0.2424,0.1048,0.1096,0.0815,0.0644,0.0133,0.0431
213,0.7561,0.0617,0.0025,0.0225,0.0322,0.0440,0.0221,0.0220,0.0050,0.0319
214,0.6952,0.0715,0.0206,0.0005,0.1124,0.0091,0.0420,0.0297,0.0104,0.0087
215,0.7327,0.0689,0.0011,0.0535,0.0504,0.0455,0.0188,0.0117,0.0034,0.0139
216,0.6766,0.0007,0.0210,0.0150,0.0466,0.1513,0.0288,0.0375,0.0107,0.0117
217,0.2333,0.6273,0.0252,0.0041,0.0297,0.0146,0.0368,0.0094,0.0104,0.0093
218,0.5661,0.0549,0.0413,0.0823,0.0565,0.0799,0.0388,0.0204,0.0158,0.0440
219,0.4965,0.4033,0.0003,0.0008,0.0246,0.0250,0.0349,0.0065,0.0005,0.0075
220,0.2034,0.0590,0.3011,0.0099,0.1861,0.0751,0.0242,0.1037,0.0340,0.0036
221,0.7001,0.0062,0.1224,0.0133,0.0558,0.0303,0.0217,0.0366,0.0037,0.0099
222,0.7360,0.1365,0.0399,0.0009,0.0167,0.0103,0.0200,0.0114,0.0013,0.0271
223,0.8034,0.0749,0.0030,0.0060,0.0611,0.0108,0.0180,0.0092,0.0017,0.0120
224,0.2271,0.2427,0.1249,0.3733,0.0000,0.0067,0.0173,0.0003,0.0000,0.0077
225,0.0564,0.8944,0.0017,0.0008,0.0015,0.0204,0.0107,0.0007,0.0046,0.0088
226,0.6914,0.0616,0.0422,0.0003,0.0788,0.0647,0.0402,0.0127,0.0033,0.0048
227,0.2105,0.2458,0.0681,0.3554,0.0469,0.0202,0.0106,0.0024,0.0039,0.0362
228,0.0880,0.0365,0.8017,0.0023,0.0200,0.0255,0.0093,0.0020,0.0059,0.0089
229,0.7197,0.0982,0.0152,0.0230,0.0341,0.0117,0.0323,0.0140,0.0402,0.0115
230,0.2812,0.1426,0.3193,0.0207,0.0584,0.0323,0.0601,0.0505,0.0041,0.0308
231,0.3434,0.0031,0.1729,0.0893,0.1741,0.0633,0.0371,0.0587,0.0185,0.0395
232,0.5210,0.1788,0.0188,0.0965,0.0454,0.0521,0.0312,0.0057,0.0118,0.0386
233,0.7616,0.0202,0.0519,0.0017,0.0469,0.0186,0.0284,0.0479,0.0104,0.0125
234,0.7949,0.0013,0.0096,0.0158,0.0387,0.0989,0.0184,0.0087,0.0063,0.0075
235,0.6420,0.0947,0.0022,0.0007,0.0601,0.0252,0.0403,0.0893,0.0174,0.0281
236,0.3142,0.0964,0.3528,0.0100,0.0285,0.0341,0.0391,0.0736,0.0196,0.0316
237,0.1537,0.0236,0.0446,0.2770,0.3105,0.0497,0.0387,0.0550,0.0193,0.0279
238,0.6561,0.0187,0.1009,0.0085,0.0892,0.0205,0.0324,0.0177,0.0247,0.0313
239,0.4267,0.0193,0.2794,0.0041,0.0799,0.0367,0.0378,0.0851,0.0236,0.0075
240,0.4622,0.0766,0.0821,0.0186,0.0436,0.0149,0.0294,0.2261,0.0035,0.0429
241,0.6948,0.2446,0.0017,0.0031,0.0124,0.0033,0.0221,0.0029,0.0041,0.0110
242,0.6032,0.0040,0.0047,0.0358,0.0553,0.1043,0.0390,0.1275,0.0143,0.0116
243,0.6620,0.1806,0.0020,0.0076,0.0418,0.0183,0.0243,0.0288,0.0064,0.0283
244,0.6715,0.0110,0.1211,0.0255,0.0823,0.0268,0.0146,0.0109,0.0221,0.0143
245,0.7296,0.1379,0.0013,0.0581,0.0126,0.0152,0.0263,0.0068,0.0029,0.0093
246,0.0569,0.3733,0.3941,0.0246,0.0204,0.0242,0.0591,0.0009,0.0343,0.0122
247,0.2336,0.6529,0.0019,0.0537,0.0096,0.0234,0.0180,0.0006,0.0019,0.0044
248,0.4840,0.4062,0.0122,0.0037,0.0270,0.0081,0.0217,0.0029,0.0022,0.0320
249,0.3399,0.5529,0.0017,0.0298,0.0209,0.0070,0.0152,0.0085,0.0158,0.0084
250,0.7984,0.0360,0.0537,0.0000,0.0762,0.0008,0.0189,0.0065,0.0049,0.0045
251,0.4714,0.0308,0.0172,0.1647,0.0947,0.0596,0.0671,0.0340,0.0195,0.0409
252,0.6005,0.2542,0.0037,0.0030,0.1036,0.0062,0.0145,0.0009,0.0040,0.0093
253,0.2862,0.1951,0.1911,0.0172,0.0795,0.0296,0.0438,0.0500,0.0520,0.0557
254,0.7794,0.0215,0.0346,0.0014,0.0673,0.0517,0.0308,0.0042,0.0025,0.0067
255,0.5098,0.1801,0.0014,0.0680,0.0090,0.0980,0.0848,0.0260,0.0002,0.0227
256,0.6716,0.0100,0.0102,0.0172,0.0903,0.1167,0.0225,0.0101,0.0371,0.0142
257,0.6328,0.0389,0.0034,0.1468,0.0330,0.0252,0.0197,0.0581,0.0187,0.0235
258,0.8445,0.0143,0.0040,0.0011,0.0532,0.0376,0.0310,0.0052,0.0021,0.0070
259,0.3053,0.0759,0.0002,0.4588,0.0458,0.0672,0.0380,0.0042,0.0005,0.0040
260,0.6110,0.0037,0.0390,0.0466,0.0180,0.1350,0.0424,0.0808,0.0118,0.0118
261,0.1407,0.7274,0.0004,0.0349,0.0616,0.0052,0.0199,0.0007,0.0048,0.0044
262,0.6444,0.0290,0.1058,0.0022,0.0220,0.0690,0.0311,0.0802,0.0047,0.0117
263,0.4010,0.0824,0.0063,0.0313,0.2001,0.0550,0.0763,0.0822,0.0306,0.0348
264,0.4608,0.2367,0.0065,0.1276,0.0293,0.0967,0.0219,0.0037,0.0016,0.0151
265,0.0457,0.2859,0.0021,0.5948,0.0032,0.0361,0.0207,0.0048,0.0005,0.0064
266,0.6997,0.0264,0.1413,0.0025,0.0712,0.0126,0.0276,0.0051,0.0040,0.0095
